country,isonum,isocode,rank_soci2007,rank_soci2008,rank_soci2009,rank_soci2010,rank_soci2011,rank_soci2012,rank_soci2013,rank_soci2014,rank_soci2015,rank_soci2016,soci2007,soci2008,soci2009,soci2010,soci2011,soci2012,soci2013,soci2014,soci2015,soci2016
Sudan,729,SDN,34,28,28,36,49,69,71,94,107,107,54.90909957885742,54.90909957885742,54.90909957885742,54.3090934753418,52.62726974487305,49.845458984375,49.845458984375,46.845455169677734,46.49636459350586,46.49636459350586
Senegal,686,SEN,71,64,76,75,114,75,79,51,77,77,49.751705169677734,50.02443313598633,48.660797119140625,49.79716110229492,42.88806915283203,49.64406967163086,49.00770950317383,53.5077018737793,49.280433654785156,49.280433654785156
Singapore,702,SGP,24,54,57,77,92,58,63,41,31,31,56.754737854003906,51.572914123535156,51.254730224609375,49.663822174072266,46.512367248535156,51.19417953491211,51.19417953491211,55.376007080078125,56.83055114746094,56.83055114746094
Sierra Leone,694,SLE,21,29,29,44,47,47,65,29,65,65,57.61045837402344,54.883182525634766,54.883182525634766,52.74681854248047,52.74681854248047,52.88127136230469,51.017635345458984,57.38127136230469,51.06309127807617,51.06309127807617
El Salvador,222,SLV,99,95,111,113,110,99,95,112,88,88,45.621639251708984,45.667091369628906,43.10100173950195,43.782814025878906,43.555545806884766,45.010093688964844,46.69190979003906,45.41918182373047,48.1508674621582,48.1508674621582
Suriname,740,SUR,66,60,65,59,56,56,59,62,61,61,50.409549713134766,50.409549713134766,50.409549713134766,51.31398010253906,51.31398010253906,51.31398010253906,51.31398010253906,51.31398010253906,51.31398010253906,51.31398010253906
Slovakia,703,SVK,89,85,85,86,72,81,84,78,86,86,47.4849967956543,47.4849967956543,47.4849967956543,47.67454528808594,49.53818130493164,48.27772521972656,48.18681716918945,48.36863708496094,48.27772521972656,48.27772521972656
Slovenia,705,SVN,20,18,19,17,15,19,21,20,22,22,58.25636291503906,58.36818313598633,58.36818313598633,61.140907287597656,60.70908737182617,58.89091491699219,59.25454330444336,59.85137176513672,59.26046371459961,59.26046371459961
Sweden,752,SWE,17,17,18,14,19,17,20,14,18,18,59.81772994995117,59.090457916259766,59.681373596191406,61.7104606628418,59.98318862915039,60.98318862915039,59.5740966796875,61.94591522216797,61.309547424316406,61.309547424316406
Swaziland,748,SWZ,72,68,73,76,70,74,74,70,73,73,49.68182373046875,49.68182373046875,49.68182373046875,49.68182373046875,49.68182373046875,49.68182373046875,49.68182373046875,49.68182373046875,49.68182373046875,49.68182373046875
Chad,148,TCD,148,138,143,135,113,142,147,143,132,132,32.68000411987305,40.54363250732422,38.9981803894043,41.09090805053711,43.25636291503906,40.029090881347656,37.84727096557617,39.34727478027344,43.07454299926758,43.07454299926758
Togo,768,TGO,149,149,149,149,149,149,149,148,146,146,27.385271072387695,27.385271072387695,27.385271072387695,27.771270751953125,30.27127456665039,30.27127456665039,29.92836570739746,35.064727783203125,39.42836380004883,39.42836380004883
Thailand,764,THA,22,21,17,18,21,24,23,31,28,28,57.15134048461914,56.95259475708008,60.31623458862305,61.08896255493164,59.126163482666016,57.4443473815918,58.717079162597656,57.01711654663086,57.06257247924805,57.06257247924805
Tajikistan,762,TJK,103,108,109,102,94,95,87,90,81,81,45.07411575317383,43.48320388793945,43.48320388793945,45.62700271606445,45.94517517089844,46.21791076660156,47.89973068237305,47.2179069519043,48.80454635620117,48.80454635620117
Trinidad and Tobago,780,TTO,54,52,54,55,33,38,18,18,20,20,51.683189392089844,51.683189392089844,51.683189392089844,51.83863830566406,54.702274322509766,54.702274322509766,60.20227813720703,60.20227813720703,60.20227813720703,60.20227813720703
Tunisia,788,TUN,68,61,69,81,116,145,120,141,136,136,50.13286590576172,50.13286590576172,50.17363357543945,48.21908950805664,42.703636169433594,38.581817626953125,44.050907135009766,39.69615936279297,42.37797927856445,42.37797927856445
Turkey,792,TUR,104,140,128,110,130,119,115,89,104,104,45.07329559326172,40.3914794921875,41.618751525878906,44.3914794921875,41.055023193359375,43.00956726074219,44.645931243896484,47.26970672607422,46.81515884399414,46.81515884399414
Tanzania,834,TZA,101,50,36,65,75,66,106,99,70,70,45.288089752197266,51.78809356689453,53.69718551635742,50.625938415527344,49.26230239868164,50.398658752441406,45.489566802978516,46.30775451660156,50.12129592895508,50.12129592895508
Uganda,800,UGA,58,90,68,52,44,45,39,55,48,48,51.254547119140625,46.345455169677734,50.20909118652344,52.254547119140625,53.576385498046875,53.44002151489258,54.39456558227539,52.75820541381836,53.80366516113281,53.80366516113281
Ukraine,804,UKR,141,141,144,115,118,125,137,128,135,135,39.1238899230957,40.169342041015625,37.85116195678711,43.52836608886719,42.52836608886719,42.223636627197266,41.99636459350586,42.71336364746094,42.486087799072266,42.486087799072266
Uruguay,858,URY,77,71,55,69,48,35,41,46,27,27,48.5281867980957,49.61909484863281,51.677734375,50.177730560302734,52.677734375,55.13227462768555,54.22318649291992,54.164546966552734,57.573638916015625,57.573638916015625
United States,840,USA,5,1,4,4,6,1,2,3,4,4,65.75090789794922,67.37999725341797,65.24363708496094,66.20863342285156,65.072265625,67.04318237304688,67.54318237304688,66.08863830566406,65.4522705078125,65.4522705078125
Venezuela,862,VEN,73,107,99,94,93,84,131,120,130,130,49.63386535644531,43.5429573059082,45.265499114990234,46.55668258666992,45.96577453613281,48.10213851928711,43.022457122802734,44.34063720703125,43.613365173339844,43.613365173339844
Vietnam,704,VNM,82,78,108,122,87,120,88,73,58,58,47.906639099121094,48.90663528442383,43.58845520019531,42.679359436035156,47.314842224121094,42.769386291503906,47.86030197143555,49.223934173583984,51.5421142578125,51.5421142578125
Yemen,887,YEM,118,118,135,139,148,148,148,149,148,148,42.22690963745117,42.22690963745117,40.86363220214844,40.181819915771484,35.90909194946289,35.6363639831543,33.86363220214844,34.8636360168457,35.818180084228516,35.818180084228516
South Africa,710,ZAF,90,69,66,72,63,61,35,30,37,37,47.176979064941406,49.63152313232422,50.3834114074707,49.88341522216797,50.6561393737793,50.83795928955078,55.019779205322266,57.354820251464844,55.80936813354492,55.80936813354492
Zambia,894,ZMB,87,67,63,67,40,54,61,66,92,92,47.54795837402344,49.77859115600586,50.460411071777344,50.460411071777344,53.981929779052734,51.75465774536133,51.254661560058594,50.93647766113281,47.981937408447266,47.981937408447266
Zimbabwe,716,ZWE,113,127,112,87,64,91,86,86,103,103,43.331729888916016,41.51104736328125,43.065704345703125,47.33843231201172,50.56570816040039,46.70207595825195,48.02577209472656,47.79850387573242,46.88941192626953,46.88941192626953
