country,isonum,isocode,rank_soci2007,rank_soci2008,rank_soci2009,rank_soci2010,rank_soci2011,rank_soci2012,rank_soci2013,rank_soci2014,rank_soci2015,rank_soci2016,soci2007,soci2008,soci2009,soci2010,soci2011,soci2012,soci2013,soci2014,soci2015,soci2016
Switzerland,756,CHE,13,14,14,16,13,9,12,16,16,16,61.28546142578125,61.28546142578125,61.28546142578125,61.28546142578125,61.322731018066406,63.231815338134766,63.231815338134766,61.095458984375,61.64091110229492,61.64091110229492
Chile,152,CHL,38,46,46,41,39,30,49,47,63,63,53.621368408203125,52.257728576660156,52.53045654296875,53.439544677734375,53.98500061035156,56.121368408203125,52.82954406738281,53.96590805053711,51.147727966308594,51.147727966308594
China,156,CHN,134,142,138,133,132,132,123,136,140,140,40.90909194946289,39.95454788208008,40.3636360168457,41.18181610107422,40.63636779785156,41.45454406738281,43.909088134765625,41.18181610107422,41.54545211791992,41.54545211791992
Ivory Coast,384,CIV,138,143,140,141,131,137,107,123,118,118,40.216819763183594,39.5,39.5,39.5,40.663272857666016,40.663272857666016,45.39054489135742,44.16327667236328,44.936004638671875,44.936004638671875
Cameroon,120,CMR,88,92,96,83,84,92,66,76,80,80,47.527408599853516,46.11832046508789,45.936500549316406,48.118316650390625,47.98196029663086,46.527408599853516,50.501678466796875,48.774410247802734,48.865318298339844,48.865318298339844
Democratic Republic of Congo,180,COD,131,128,131,132,139,127,129,127,131,131,41.21443176269531,41.21443176269531,41.21443176269531,41.21443176269531,40.19488525390625,41.694889068603516,43.285797119140625,42.83124923706055,43.37670135498047,43.37670135498047
Congo,178,COG,137,139,137,143,123,141,139,133,128,128,40.400360107421875,40.400360107421875,40.400360107421875,39.45454406738281,42.31818389892578,40.36363983154297,41.772727966308594,42.181819915771484,43.8636360168457,43.8636360168457
Colombia,170,COL,37,39,43,37,36,28,45,52,64,64,53.92802429199219,52.92802429199219,52.74620819091797,54.14488983154297,54.59943389892578,56.69034194946289,53.59943389892578,53.32014083862305,51.092864990234375,51.092864990234375
Comoros,174,COM,122,123,123,91,102,101,113,116,93,93,41.86363220214844,41.86363220214844,41.86363220214844,46.81818389892578,45.13636779785156,44.81818771362305,44.81818771362305,44.81818771362305,47.89921188354492,47.89921188354492
Costa Rica,188,CRI,28,31,32,38,46,22,26,25,39,39,55.96045684814453,54.59681701660156,54.551361083984375,54.14136505126953,52.777732849121094,57.45954513549805,57.14136505126953,58.60818099975586,54.97182083129883,54.97182083129883
Cyprus,196,CYP,35,30,30,22,22,40,30,32,32,32,54.8636360168457,54.8636360168457,54.8636360168457,57.409088134765625,58.077274322509766,54.62273406982422,56.07727813720703,56.80455017089844,56.80455017089844,56.80455017089844
Czech Republic,203,CZE,79,80,72,80,79,82,91,98,78,78,48.23847579956055,48.23847579956055,49.92029571533203,48.88500213623047,49.06682205200195,48.24863815307617,47.56845474243164,46.341182708740234,48.932090759277344,48.932090759277344
Germany,276,DEU,16,11,13,13,16,16,16,10,9,9,60.84773635864258,62.62045669555664,61.58091354370117,62.21727752685547,60.58091354370117,61.262733459472656,61.11591339111328,63.343177795410156,63.20682144165039,63.20682144165039
Djibouti,262,DJI,53,41,49,62,107,111,119,124,124,124,52.04781723022461,52.70754623413086,52.343910217285156,51.11664581298828,43.889366149902344,43.889366149902344,44.10963821411133,44.10963821411133,44.10963821411133,44.10963821411133
Denmark,208,DNK,7,8,6,7,5,11,7,12,7,7,65.2086410522461,63.9359130859375,64.29954528808594,64.9359130859375,65.39727783203125,63.0790901184082,65.30636596679688,62.5790901184082,64.4881820678711,64.4881820678711
Dominican Republic,214,DOM,44,63,59,60,35,48,43,45,44,44,52.85518264770508,50.08245849609375,50.809730529785156,51.26305389404297,54.67213821411133,52.80849838256836,53.85395431518555,54.444862365722656,54.717594146728516,54.717594146728516
Algeria,12,DZA,110,105,105,111,109,104,116,132,138,138,44.37754821777344,44.37754821777344,44.37754821777344,44.37754821777344,43.559364318847656,44.44927215576172,44.44927215576172,42.2674560546875,42.2674560546875,42.2674560546875
Ecuador,218,ECU,92,98,104,99,103,87,108,92,75,75,46.89204406738281,45.39204406738281,44.39954376220703,45.85409164428711,45.08136749267578,47.89954376220703,45.34682083129883,47.02863693237305,49.66499710083008,49.66499710083008
Egypt,818,EGY,130,109,127,136,135,131,144,145,134,134,41.265708923339844,43.26570510864258,41.62934494018555,40.982479095458984,40.49945068359375,41.48699951171875,38.34600067138672,36.43690872192383,42.727272033691406,42.727272033691406
Spain,724,ESP,27,26,31,23,30,23,31,27,29,29,56.39364242553711,55.28727722167969,54.741825103759766,57.15091323852539,55.997276306152344,57.45182800292969,55.9063720703125,57.95182418823242,56.99728012084961,56.99728012084961
Estonia,233,EST,95,77,83,85,55,70,70,69,71,71,46.67338562011719,49.127933502197266,47.71884536743164,47.71884536743164,51.4251594543457,49.83424758911133,49.92515563964844,49.69788360595703,49.72811508178711,49.72811508178711
Ethiopia,231,ETH,120,119,120,126,122,124,134,135,120,120,42.17772674560547,42.17772674560547,42.17772674560547,42.350181579589844,42.350181579589844,42.350181579589844,42.71382141113281,41.350181579589844,44.48654556274414,44.48654556274414
Finland,246,FIN,14,15,15,11,10,13,15,11,11,11,60.86455154418945,60.86455154418945,60.86455154418945,63.13726806640625,63.198631286621094,62.380455017089844,62.15318298339844,62.698638916015625,62.81136703491211,62.81136703491211
France,250,FRA,19,24,37,28,26,41,52,48,49,49,58.72641372680664,55.908226013183594,53.68095779418945,55.72641372680664,56.90823745727539,54.52864074707031,52.11954879760742,53.66500473022461,53.7104606628418,53.7104606628418
Gabon,266,GAB,117,115,118,125,112,109,102,118,102,102,42.5,42.5,42.5,42.5,43.5128173828125,44.0128173828125,45.87645721435547,44.55827331542969,46.921913146972656,46.921913146972656
United Kingdom,826,GBR,12,12,11,10,11,10,13,13,12,12,61.38001251220703,61.83454895019531,62.289093017578125,63.80772399902344,62.716819763183594,63.21681594848633,62.762271881103516,62.353179931640625,62.216819763183594,62.216819763183594
Georgia,268,GEO,140,114,130,117,120,118,122,121,139,139,39.279273986816406,42.53236389160156,41.53236389160156,43.44145584106445,42.39600372314453,43.17308807373047,43.945274353027344,44.17254638671875,42.03618621826172,42.03618621826172
Ghana,288,GHA,32,55,62,35,57,76,60,79,89,89,55.11854934692383,51.298545837402344,50.525821685791016,54.38945770263672,51.207637786865234,49.50041198730469,51.273136138916016,48.31859588623047,48.09132385253906,48.09132385253906
Guinea,324,GIN,94,87,89,104,100,133,80,100,112,112,46.79050064086914,46.79050064086914,46.79050064086914,45.31818389892578,45.31818389892578,41.36363983154297,48.65777587890625,46.20323181152344,45.748680114746094,45.748680114746094
Greece,300,GRC,102,99,101,114,106,114,118,103,100,100,45.142730712890625,45.142730712890625,44.81454849243164,43.723636627197266,43.90545654296875,43.65773010253906,44.203182220458984,46.06682205200195,47.26681900024414,47.26681900024414
Guatemala,320,GTM,55,40,42,39,66,42,33,35,38,38,51.51881408691406,52.79155349731445,52.88246154785156,53.6097297668457,50.247371673583984,54.292823791503906,55.29281997680664,56.52009201049805,55.20191192626953,55.20191192626953
Guyana,328,GUY,36,32,33,33,34,39,38,43,43,43,54.54800033569336,54.54800033569336,54.54800033569336,54.54800033569336,54.696006774902344,54.696006774902344,54.696006774902344,54.696006774902344,54.861663818359375,54.861663818359375
Hong Kong,344,HKG,47,43,39,29,37,46,48,54,53,53,52.409088134765625,52.409088134765625,53.590904235839844,55.45454025268555,54.31817626953125,52.95454406738281,52.95454406738281,52.77272415161133,52.77272415161133,52.77272415161133
Honduras,340,HND,61,53,84,107,82,88,85,72,83,83,51.09429931640625,51.59429931640625,47.524658203125,44.75193405151367,48.25193405151367,47.75193405151367,48.181182861328125,49.4084587097168,48.40845489501953,48.40845489501953
Croatia,191,HRV,123,124,124,124,128,135,135,106,113,113,41.84550476074219,41.84550476074219,41.84550476074219,42.6636848449707,41.43007278442383,41.157344818115234,42.157344818115234,45.9300651550293,45.61188507080078,45.61188507080078
Hungary,348,HUN,76,81,78,89,74,62,53,101,114,114,48.616817474365234,48.20772933959961,48.20772933959961,47.10818099975586,49.28999710083008,50.835453033447266,52.10818099975586,46.129093170166016,45.58363723754883,45.58363723754883
Indonesia,360,IDN,65,73,35,46,17,21,22,23,14,14,50.803680419921875,49.48550033569336,53.85868453979492,52.67686080932617,60.313232421875,57.813232421875,59.085960388183594,59.607017517089844,61.87975311279297,61.87975311279297
India,356,IND,142,137,113,121,141,129,100,107,84,84,38.78030014038086,40.598480224609375,42.92097854614258,42.69370651245117,40.05733871459961,41.51188659667969,46.193702697753906,45.91272735595703,48.367271423339844,48.367271423339844
Ireland,372,IRL,8,7,7,3,2,7,6,9,10,10,65.0013656616211,65.0013656616211,64.00137329101562,66.5013656616211,67.09318542480469,64.59318542480469,65.3204574584961,64.04772186279297,63.093177795410156,63.093177795410156
Iran,364,IRN,83,96,98,103,60,60,54,65,74,74,47.81818389892578,45.5406379699707,45.42820739746094,45.42820739746094,50.88275146484375,51.074092864990234,52.074092864990234,51.074092864990234,49.66500473022461,49.66500473022461
Iraq,368,IRQ,114,111,102,129,138,138,68,61,62,62,43.034523010253906,43.034523010253906,44.8072509765625,41.5709114074707,40.29818344116211,40.61636734008789,50.025455474853516,51.382911682128906,51.24654769897461,51.24654769897461
Iceland,352,ISL,9,9,8,9,8,12,4,4,5,5,63.89091110229492,63.89091110229492,63.96000289916992,63.96000289916992,63.96000289916992,62.91455078125,66.0199966430664,66.0199966430664,65.33818054199219,65.33818054199219
Israel,376,ISR,57,62,50,73,61,52,51,71,46,46,51.35636901855469,50.129093170166016,52.21709060668945,49.85345458984375,50.808006286621094,52.23709487915039,52.4643669128418,49.50981903076172,54.266910552978516,54.266910552978516
Italy,380,ITA,29,38,24,50,41,20,50,49,51,51,55.937278747558594,53.02454376220703,56.75181579589844,52.388179779052734,53.7518196105957,57.888187408447266,52.55409622192383,53.5540885925293,53.00864028930664,53.00864028930664
